,384,425-1,425-2,513,530,587-1,587-2,587-3,587-4,628,667-1,667-2,675-1,675-2,692,716-1,716-2,733-1,733-2,733-3,733-4,733-5,749-1,749-2,790-1,790-2,813-1,813-2,821,829-1,829-2,878-1,878-2,878-3,895-1,895-2,895-3,895-4,895-5,895-6,936-1,936-2,936-3,936-4,952-1,952-2,952-3,952-4,952-5,952-6,958,966,975-1,975-2,975-3,993-1,993-2,1016-1,1016-2,1032,1040-1,1040-2,1041-1,1041-2,1041-3,1041-4,1041-5,1057-1,1057-2,1057-3,1081-1,1081-2,1082,1098-1,1098-2,1098-3,1098-4,1098-5,1098-6,1098-7,1114-1,1114-2,1114-3,1121,1139,1155-1,1155-2,1178,1186-1,1186-2,1186-3,1186-4,1187,1203-1,1203-2,1203-3,1203-4,1203-5,1235-1,1235-2,1243-1,1243-2,1244-1,1244-2,1244-3,1244-4,1244-5,1244-6,1244-7,1260-1,1260-2,1260-3,1260-4,1260-5,1260-6,1260-7,1301-1,1301-2,1301-3,1301-4,1301-5,1317-1,1317-2,1317-3,1317-4,1331,1332-1,1332-2,1332-3,1340-1,1340-2,1348,1349,1365,1389-1,1389-2,1389-3,1390,1397,1405,1406-1,1406-2,1406-3,1406-4,1406-5,1406-6,1406-7,1406-8,1406-9,1411,1412,1447,1463-1,1463-2,1477-1,1477-2,1479-1,1479-2,1479-3,1479-4,1494,1511,1520-1,1520-2,1534,1535,1543,1551-1,1551-2,1552-1,1552-2,1552-3,1552-4,1552-5,1557,1559,1568-1,1568-2,1568-3,1593,1609-1,1609-2,1609-3,1609-4,1609-5,1609-6,1609-7,1625-1,1625-2,1650,1666-1,1666-2,1666-4,1682,1697-1,1697-2,1697-3,1698,1713,1723,1755-1,1755-2,1770,1771-1,1771-2,1771-3,1771-4,1771-5,1771-6,1771-7,1812-1,1812-2,1812-3,1828-1,1828-2,1842,1843,1844-1,1844-2,1844-3,1876-1,1876-2,1885,1917-1,1917-2,1917-3,1917-4,1917-5,1958,1974-1,1974-3,1974-4,1974-5,1988,1990-1,1990-2,1990-3,1990-4,1990-5,1990-6,2031-1,2031-2,2031-3,2031-4,2031-5,2062,2088,2120-1,2120-2,2136
P1TS,0.2,0,0.00574405710233606,0.6652884895643532,12.541670011525591,0.2808953086829211,0.5461531012333342,0.05327448038709901,0,0.01934712150889374,0.037588861506776004,0.021908151070107566,0.17583419534929948,0.6157308790502485,0,0,0,0,0,0.1833107367239562,0.21786618005220157,0.16908724503945957,0.9803982029103995,0.2094083426221211,0.1057284653328984,0.17752800108562203,0.533791676733639,0,0.366565320852504,0,0,0.08200831320326596,0.31451834405454243,0,0.13150604070478472,0,0.2292895028006332,0.6418650037692035,3.300095296648202,4.726857941294318,0,0,0,5.60005278972249,0.11480260694824791,0,0.18218847016677292,0.11463768324145403,0,0,0,0.7989477663315292,0,0,0,0,0,0,0.16270273420907386,0,1.0554830581700068,0.08920801835580434,0,0.9570086835453394,0.1668633273884423,0,51.314287130834494,0,0,0,0.2198668616858085,0,0,0.03909673539746307,0.05986082642056106,0,0,0.5353140796175436,0,0.2883486822035283,0.19626470854163217,0,0,0.05268095138038717,0,0.6642744051053169,0,0,0,0.4262431604936223,2.142050700991232,0.2918925785221352,0,0,0.031957894946241475,0,0.15448678488229117,0,0,0,0.8615873608738213,0,0,0,0,0,0,0.07415107293875998,0,0.07038511862921978,0,0,0,0.2644771536715885,0.07334451747743935,0.10158200847125513,0,0,0.2341692811442708,0,0,0,0,0,0,0.2141522552453999,0,0.1466911946700867,0.09505102968221675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04168682294511201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18352179980110317,0,0,0,0.6645160968708683,1.4110964632026648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07181916952734198,0,0,0,0.1820510337444447,0,0,0,0.14174839190992433,0,0,0,0,0,0,0,0,0,0,0.08022360309046056,0.3565493470687136,0.480723939993271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.926754923664247e-06,0,0,0,0,0,0,0,0.0870263133202165,0.1504351591520544,0,0,0,0.09291291162628157,0.0508665942679081,0,0.29524995398186815,0,0,0.3653892577528665
P1TI,2.060290288561838,0.20023068202261238,0,3.2947108073596585,8.604410529409332,3.171700421094408,1.3131672872280775,1.2330279831109594,0.2380499882318466,0.10455264268603114,0.11055424656405777,0,3.6229985394877144,0.5102539079024461,0.6251994472528964,0.16557678733064737,0.3562437550985645,0.06949386977674102,0.6150325053511764,6.094116505845939,0.3766287598890406,1.5458066301920335,4.753184388138868,0.8460574475445355,0.08674209080268808,0.3357381047786834,0.8124392640499198,0,0.558993679362311,0,0,0.11846164083878655,2.4332669651370273,0,0.2653332590129608,0.820429474323647,0.3645437585537298,0.3580135636697509,1.4890858502361077,3.89428739349037,1.6437135445633844,0.7398137226073535,0.17423566011480537,0,0.18611515508223153,0,0.5755159823723468,0.29273922016296144,0,0,0,0.6197908468244874,0,0,0,0,0,0,0,0,0.6280111015398765,1.6986532693309755,0,0,0,0,6.279855410463584,0.4896265896334193,2.5580941912815365,0,0,0,0,0.058439467540075965,2.190728554243419,0,3.1806251230111533,0.6233325088063416,0,0.3261314488948779,0.39434729399571883,0.11173002926588582,0,0.1321283255129913,0.4869703431470286,1.0393469219473994,0,0,2.91868118543868,0,0.32067377231891436,0.5709682593656241,0,0.14562733334971797,0.22703852762429177,0.3717681764416575,0,2.7742327020500124,0,0,0,0,0,0,0,0,0.36142558282848175,2.2776853531916585,0,0,0,0,0,0,0,0,0,0,0.45185840441122105,0,0,0,0,0,0,0,0,0,1.852215602288422,0,0,0,0,0.6032583196170443,0,0,0,0,0,0,0,2.461011347221206,0,0.07452417490108361,0,0,0,0,0.13811459309490715,0,0,1.5440930547065868,0.604088524446509,0.03225734281971721,3.145588843336159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45400344102725176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15720214723440953,0,0,0.04654054659757616,0,0,0,0,0,0,0,0,0,0,0.8073517034200971,0,0.28646360779442187,0,0.07548218219813828,0,0,0.6021162767666601,0.21812711716417593,0.05552250401980169,0.21013792931018951,0.08916318074871311,0,0,0,0,0,0,0.2442110895894255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P3TS,0,0,0,0,5.227677338804669,0.47825209846541733,1.365896694794951,0,0,0,0,0,0.5323859521580565,1.6605510813290734,0,0,0,0,0,0,0,1.7653046900202392,2.0715332905071926,5.742957625361753,0,0.9023052673364528,4.916577342244395,2.182813082487425,0,0,0,0,0,0,0.27153384830063587,0,0,0.42434136215018226,0.6745396112365631,4.307429715701979,0,0,0,0,0,0,0,0.6668420617161261,0,0,0,1.627827199309824,0,0,0,0,0,0,0,0,1.4179109334022522,2.852704415028071,0,0,0,0,4.975517516108611,0,0,0,0,0,0,0,0,0,0,2.210451747613342,2.8700703842360142,1.6520354347581552,5.628135845015233,0.7813756487834991,4.264228613502135,0,0,1.3730643405440535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40757966917270877,0,0,0,0,0,0,0,0,13.173649465866296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0909445023413387,3.622422180842213,0,8.517561661741043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6207302073968997,5.722849171723221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2TS,1.7222902116001373,0.09552174612705738,0,10.624970712500826,3.312709485081264,2.20448504675647,2.0101522732003296,0.20898106383821155,0.3207839350847347,0.11800546409379842,0.622115521884164,0,3.712416192345399,3.797141975988063,0,1.5475423746976342,1.540006633050974,0,0,0.6205135637900799,0,1.048873888845903,5.809985974693419,0.48821580010178406,0.11140147358349303,0.6387907795505869,2.485679548080719,0,2.1546336365429517,1.311397041862688,0.49360288366987143,0.40746585123003837,4.654265840041758,0.16629850690967019,0.2704766388376394,0,0,0.33853624620897144,0.4807399956627255,0.8336448251849603,0.036425475710719045,0.22747078424385203,0.08056650469090379,0,0,0,0.4520718476388915,0.23938920716151543,0,0,1.5300588728680962,2.8059858017836574,0,0.12631130804419072,0.2706764295296453,0.127491889406044,0.21340370324761576,0.38784822155407356,0,0,9.48341392163337,1.1580958276075133,0,0,0,0,2.083749715298263,0,0,0,0,0,0.16039560010040382,0.12899576843314325,0.2950799544186616,0,0.16666176271331734,1.4146706668395757,0,0.6137570058422428,0.530062868681937,0.1726191578931308,0,0.6444230607861362,0,1.8021520000319657,0,0,0,0.10519161562014483,0.3325697696340668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3301268743545397,0,0,0,0,0,0,0,0,0,0,0.6829844806223004,0,0,0,0,0,0,5.488962290778277,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5942846784877368,0,0,0,0,0,0,0,0,0,1.1003054618052863,0,0.2042496569957073,0,0,0,1.1035202756675637,1.0082564411610957,0.5164716527884784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.779123761615558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47404882375954477,0,0,0,0,0,0,0.40786361633503204,0,0,0.7786824058141267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16760622780279996,0,0.4262843181379796,0,0,0,0.27267433644970474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4TS,1.4788291286306554,0,0,11.257345192997112,5.993043152415704,2.405548333926236,3.8989818216997087,0.07691351576740547,0.3858191011449226,0,2.260234593080748,0.07563995099224782,3.373692682696848,0.845568637487747,0,0.10813054773694279,0.8867831529422717,0,0,0.7227725015322579,0,2.350554827269717,5.157533227488673,0.4620346054490206,0,1.0456064770565474,8.15919559689471,0,2.0532190880419012,2.1863384461652546,0,0.6545975994528573,0.22469601294627586,0,0.34195214212982905,0,0,0.5504151025189032,1.0799927259858038,2.8440293385239275,0,0,0,0,0,0,0.6675389768988823,0.35109241855461437,0,0,0,1.4397478341745196,0,0.23249904635714563,1.4623340156293345,0.21813225602815567,0.3148105174407962,0.3134683761008224,0,0.4593429752799854,0.3992037770992237,1.056980390163917,0,0,0,0,5.190178121504204,0,0,0,0,0,0,0,0.13032976143315228,0,0,2.877982085597025,0,1.163278963955056,0.4865850156532135,0.307852445274983,0,2.5680796908666434,0,3.144852685905252,0.44843930147421274,0.20892585220158333,0.1973045736282698,0,0.26265803989809045,0.48045231142822353,0,0,0,0,0,0,0.2610317956467353,0.35933630131073097,0,0,0,0,0,0,0,0.6875657829882363,0,0,0,0,0.18903619924186166,0,0,0,0.6457218326352201,0,1.1269578762327714,0.19251156158022456,0,0.325040671413553,0.27246448866680434,0,0,0,0,0,1.1243495176067275,0.34554751345662027,0.25945453465596313,0,0,0,0,0,0,0,0.6257856455779446,0,0,0,0,0.13881856049218386,0,0,0,0,0.4315621190403446,0,0,0.3781605683527727,0.332356321381622,0.4128407168455272,0,0.3625251115746834,0.8988060942523659,0.5313998007605878,0,0,0,0,0,0,0,0,0.483905631299324,0,0,0,0,0,0,0,0,0.36399705855520215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6704730742078032,0,0,0,0,0,0,0.7591915557757085,0,0,0,0,0,0,0,0,0.22827179096883388,0,0,0,0,0,0.21244529947447097,0,0,0,0,0,0,0,0,0,0,0.5207606365619631,0,0.8168938367424666,0,0,0,0.7812511671792564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4TI,0,0,0,0,7.902580651126666,1.632433665276635,0,0,1.208809904670322,0,0,0,0.2296788749063809,0.31486840929194676,0,0,0,0,0,2.3201141613731417,0,2.1860176974785253,2.8053369825521726,0.41238638570147296,0.783423176854583,0.08438818565400844,0,0,0,0,0,0,0.25416316076596607,0,0,0,0.2591130302385862,0,2.8771994711098374,8.651693773828567,0.1995358341577979,0.13474987132188637,0,3.6825672747670692,0.3848323177779216,0,0.43895417826310745,1.3667557396602898,0,0.3002715339355777,0,0.23367329012214405,0,0,0,0,0.3621603128958586,0,0,0,0.979192671974061,0,0,0,0,0,22.253731665295128,0,0.7095080026999289,1.8967554622703442,0,0,0,0,1.1518709951826613,0,0.4451307277171116,0,0,2.3690334193242166,0.6113674399681925,0.3806221548267391,0,0,0.9707846745137201,0.30032084770367357,1.105953712864421,0,0.36213565601181064,0,0.8622758920398331,0,0,0,0,0,0,6.257923335583275,0,0,1.0062474379956419,0,0,0,0,0,0,8.572828730201293,0,0,0,0,0,0.4303242688463352,0.5151254573081463,0,0,0.6650639692035518,0,1.1958342194401037,0,0,0.41742871848927277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28693215966565266,0,0,0,0,0.6201514549102644,0,0,3.8172185185527647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9589123848446462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3910581810000216,0,0,0,0,0,0,0,0,0,0,0,0.43934868840787417,0,0,0,0,0.3021454571232197,0,0,0,0.3172539628235831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3818118494820513,0,0,0
P6TA-FS,3.5044603943872343,0.15934628658174513,0.05268289938881443,0.3080758880949454,2.2808420376563854,1.6922024904564996,0.469480039433385,2.1991824591471687,0.7806791624035833,0.1677420046278879,0,0,0.37628271075583863,0.8837193079528063,0,0,0,0.06630280614064643,0,0.16821743038112086,0,0.660681297423809,45.82071077717508,2.276044980238728,2.7249660369173463,0,0.2790752063361504,0,0,0,0,0.16082635288651775,0.4549251865378777,0,0.7143503293056431,0,0.1220941917955806,0.1681315414220514,0.7080026436101059,1.1467841761038986,0,0,0,0.34121890470125177,0.33637760145619544,0,0.24856206917017282,0.1691896818302505,0.6521681688814298,0,0,1.1642291780126723,0,0,0,0,0,0,0,0,2.244933512243408,0.23606334590087372,0,0,0,0,3.6093363079909118,0,0,0,0,0,0,0,0,0.32612847486232155,0,0.15639020261000114,0,0.037843195905147564,2.9312221545717327,1.9073679247809592,0,0,0,0.36701133019096754,0,0,1.031238655951846,0,0.36516081352738017,0.12776633335513712,0,0,0.19139732773537046,0,0,0,0,0,0.8855458219780004,0,0,0,0,0,0.08318475820663145,0.5633031718396395,0,0.377962895443359,0.5352096741367396,0,0,0,0,0,0,0,0.13185834941854718,0,0,0,0,0,0.0768185644525743,0.5440562369208934,0,0,0,0,0,0,0,0,0.06493899357845266,0,0,0,0,0.20813237208685284,0,0,0,0,0,0,0,0,0,0,0,0.06945293553843623,0,0,0,0,0.9809693230694077,0.7728479401423011,1.320839453006013,0.44776517058636045,0,0,0,0.5347715536889611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265771671709645,0.2631857489083013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1712967086173887,0,0.5041855410425609,0,0,0,0.10322725045332376,0,0,0,0,0,0,0,0,0.7422280924514189,0,1.4120491897115581,0,0,0.24083003853502122,0.873200946945149,0,0.08225039043978495,0,0,0,0.7800929774876447,0,0,0,0,0.16041975397590613,0.2082532528440617,0.2637120718224643,0.28415248732733706,0,0,0,0,0.2559710763464672,0.18023320899841325,0,0,0.5141827845275139,0,0,0.08006239089662168
